23,33,8
48,70,39
22,85,82
31,86,88
18,55,67
30,71,61
36,93,54
43,60,69
50,79,76
38,68,63
49,84,66
3,65,84
27,87,100
46,83,87
32,100,83
14,66,65
9,52,93
95,63,86
53,76,85
11,40,55
10,64,71
42,44,60
70,69,68
12,53,64
90,54,47
72,75,44
2,29,40
74,91,29
28,67,16
92,47,15
6,61,5
37,5,41
81,17,17
51,8,21
57,15,33
58,57,35
7,77,1
78,39,4
79,16,24
96,21,89
98,88,25
26,82,80
99,74,45
20,1,97
75,4,34
62,51,13
91,24,59
94,59,73
52,35,94
19,32,56
77,41,99
73,36,62
56,10,77
59,45,96
34,22,52
41,34,98
97,48,58
80,25,91
45,13,75
13,78,81
25,30,78
89,26,79
24,96,57
4,73,51
1,58,19
21,62,20
33,56,92
16,9,74
15,3,90
17,46,70
8,2,72
29,27,53
47,80,37
88,94,49
61,92,46
64,37,26
100,11,95
83,28,11
65,89,6
87,81,50
68,19,31
60,90,7
55,49,38
71,23,2
85,43,3
86,50,42
93,6,14
84,38,12
54,18,10
66,12,27
63,97,22
76,72,28
69,7,32
67,99,23
40,98,43
44,31,9
82,42,36
5,14,30
39,20,18
35,95,48
