78,79,61
80,82,38
63,30,60
57,83,15
81,18,35
83,59,100
11,25,31
17,64,55
16,1,13
93,62,75
61,15,12
79,90,7
69,14,8
95,16,4
90,57,72
97,91,19
46,100,95
49,53,37
96,86,70
76,89,90
59,51,78
84,80,3
94,74,87
91,47,1
100,69,97
9,58,83
47,92,20
18,76,23
20,71,71
82,93,29
38,34,79
45,17,5
52,60,14
92,20,66
35,32,52
60,56,84
86,31,27
22,98,59
33,7,69
3,66,63
19,70,74
70,87,34
10,41,2
13,9,26
77,52,50
21,99,18
75,42,28
55,94,57
25,49,6
14,22,48
8,50,10
89,2,96
53,63,82
5,8,30
28,11,86
56,84,40
64,39,54
7,97,45
71,29,81
6,27,62
40,21,77
32,36,80
12,67,24
24,95,53
34,46,51
88,45,92
87,3,43
98,48,36
4,6,91
23,37,67
73,61,65
2,5,47
62,78,56
26,4,85
48,40,76
37,13,21
74,26,88
39,96,46
41,28,41
50,65,44
31,19,22
29,10,11
30,43,58
85,75,49
72,24,39
54,54,94
1,12,64
44,35,68
27,23,42
43,88,16
36,44,9
42,33,32
15,68,99
51,38,17
99,72,73
66,85,93
67,81,98
65,55,25
58,77,89
68,73,33
